score,text
1.0,"Мы останавливаемся в Форуме уже 5-7 раз точно, но в базе нас почему-то не нашли, про комплименты постоянным гостям и подавно молчу. Печально. Более того, уверяли, что номер с двуспальной кроватью, поднимаемся - он Twin. Спускаемся, говорим администратору, получаем ответ: ""Такого не может быть"". Прекрасно, что и говорить. Очень долго девушка выясняла, не обманываем ли мы ее (а смысл???). Еще и ключи в 11:20 в день отъезда заблокировали. Опять же долго выясняли, что и как. Все ооооочень долго. Но дальше началось самое ужасное: 24.07 в 02:45 ночи нас разбудил грохот и шум работающего мусоровоза. Продолжался этот дикий шум порядка 15 минут. Мы воздухоплаватели: у нас и так подъем в 03:30 утра, сон в дефиците и крайне важен. В итоге никто больше не уснул. Весь день разбитые. Кто"
4.0,"Не было больших ожиданий, но отель удивил просторным читым номером, с хорошим сервисом. Большая ванная, огромная кровать, на фото при бронировании, казалось, что номер меньше. Оценку снизила только из-за завтрака, т.к. привыкла к более большому разнообразию, но голодными не уйдёте и для Рязани, я думаю, это хороший уровень. Спортивный зал оказался совсем простым и маленьким , поэтому не стали им пользоваться. Спа нужно бронировать заранее, но цены там очень приятные, в следующий раз, надеюсь, опробуем. Есть парковка на территории отеля. Ресторан ""КАМИН"" при отеле не очень впечатлил, цены, как в Москве, а вот блюда нужно доработать."
4.0,"Номер на 5 этаже. Чисто. Несомненно, сантехнику пора обновлять, занавески и мебель тоже, конечно. Матрас далеко не новый. Завтрак сытный, но не своевременно пополняют шведский стол. В целом крепкое хорошо."
5.0,"Брали 3-дневный тур по городам России, Рязань была в их числе. Одну ночь провели в этом отеле на 9 этаже. Очень хороший просторный номер, чистый, с прекрасным видом из окна на Рязань. Еда была вкусной. Мы очень довольны!"
5.0,"Отель замечательный. В номере есть холодильник, чайник. Чисто. Есть кондиционер. Халат, тапочки, туалетные принадлежности. Завтраки хорошие, были и каши, и йогурты и для любителей плотно поесть- сосиски, котлеты, мясо. Хорошее расположение, рядом остановка, но можно дойти пешком до центра города."
5.0,"Ездили по Есенинским местам и остановились в этом отеле, расположен рядом с историческим центром. Номера не большие, из минусов слышимость, в номере есть тапочки и халат, чайник и набор чай кофе, на завтрак есть все необходимое. Остались довольны"
5.0,"Были в выходные на 23 февраля 2021 г. Отель находится недалеко от центра, так что все интересовавшие нас места для нас оказалось в пешей доступности. При этом здание отеля расположено не на самой улице, а за зелёным сквером, поэтому никакого шума. Недалеко жд станция 203 км, удобно для тех, кто решит добираться на электричке. При этом железную дорогу тоже не было слышно. Номер выбрали двухместный улучшенный, он оказался очень просторным, полностью оснащённым всем необходимым, фен, халат, тапочки, четыре полотенца, набор для умывания, чайная станция, телевизор с большим выбором каналов. Большая ванная комната с ванной, что меня особенно порадовало! Февраль в 2021 выдался очень морозным, на улице было -11, а ночью все -20! При этом в номере было даже жарковато, открывали окошки."
5.0,"На новогодние каникулы мы с семьей вновь решили съездить в нашу уже так полюбившуюся Рязань. В прошлый раз ездили без сына и хотелось ему показать город, а в особенности музеи, программа была насыщенная, но за два дня почти все успели. Приютил нас на эти праздники уютный четырехзвездночный Конгресс-отель «Форум», сегодня немного о нем. Конгресс-отель ""Форум"" расположен вблизи делового и культурного центров Рязани, на проезде Яблочкова, 5е, рядом с основными транспортными магистралями и деловыми районами города, за тихим сквером, в 5 минутах езды от Рязанского Кремля и площади Ленина. В холле очень приятная обстановка, очень приветливые администраторы. Есть несколько лифтов, не нужно таскать тяжёлую сумку по лестницам. Также на первом этаже холла есть бар-ресторан ""Камин"", там"
5.0,"Доброго времени суток. Мы останавливались в этом отеле во время нашего путешествия по Золотому кольцу России. В этом отеле мы ночевали всего одну ночь. Заранее ничего не выбирали и не бронировали. Просто этот отель был забронирован нашим туроператором, для размещения экскурсионной группы. Но мы ни сколько не пожалели о его выборе. Очень хороший отель, с очень красивым и оригинально оформленным интерьером. ИНТЕРЬЕР Интерьер отеля впечатляет! Пол выложен мраморной плиткой отполированной до блеска. На первом этаже, возле ресепшен, установлены лавочки с фонариками, стилизованными под старину. Смотрится это очень красиво и стильно. Создаётся впечатление, что находишься не в здании отеля, а на старинном бульваре. Также в холле стоят удобные кресла, со столиками, где можно скоротать"
5.0,"Останавливалась в этом отеле пару раз, когда была с рабочей поездкой в Рязань. Отель на уровне, мне очень понравился персонал: очень дружелюбный и внимательный. Порадовало то, что находится он у парка, нет этих ночных гонок на машинах. Планирую вернуться сюда уже с семьёй!"
